1 NR PCI,2 NR PCI,3 NR PCI,4 NR PCI,5 NR PCI,6 NR PCI,1 SS RSRP,2 SS RSRP,3 SS RSRP,4 SS RSRP,5 SS RSRP,6 SS RSRP,x,y
169.0,166.0,,,,,-69.92,-81.73,,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,168.0,,,,-70.15,-86.2,-86.85,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,168.0,,,,-70.15,-86.2,-86.85,,,,-0.0602890808226164,3.051124710113435
169.0,166.0,168.0,,,,-70.15,-86.2,-86.85,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,168.0,,,,-70.37,-86.2,-86.85,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,168.0,,,,-70.37,-86.2,-86.85,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,168.0,,,,-70.37,-86.2,-86.85,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,,,,,-71.38,-92.36,,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,,,,,-71.38,-92.36,,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,,,,,-71.38,-92.36,,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,,,,,-71.38,-92.36,,,,,-0.0027051922506954,3.312020189426081
169.0,167.0,166.0,,,,-70.54,-80.63,-85.67,,,,-0.0027051922506954,3.312020189426081
169.0,167.0,166.0,,,,-70.54,-80.63,-85.67,,,,-0.0027051922506954,3.312020189426081
169.0,167.0,166.0,,,,-70.54,-80.63,-85.67,,,,-0.0027051922506954,3.312020189426081
169.0,167.0,166.0,,,,-71.04,-80.63,-82.01,,,,-0.0027051922506954,3.312020189426081
169.0,167.0,166.0,,,,-71.04,-80.63,-82.01,,,,-0.0027051922506954,3.312020189426081
169.0,167.0,166.0,,,,-71.04,-80.63,-82.01,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,,,,,-71.43,-85.19,,,,,-0.0027051922506954,3.312020189426081
169.0,166.0,,,,,-71.43,-85.19,,,,,0.0410515340144689,3.566853846604043
169.0,166.0,,,,,-71.43,-85.19,,,,,0.0410515340144689,3.566853846604043
169.0,166.0,,,,,-74.57,-88.04,,,,,0.0410515340144689,3.566853846604043
169.0,166.0,,,,,-74.57,-88.04,,,,,0.0410515340144689,3.566853846604043
169.0,166.0,,,,,-74.57,-88.04,,,,,0.0410515340144689,3.566853846604043
169.0,166.0,,,,,-74.57,-88.04,,,,,0.0410515340144689,3.566853846604043
169.0,189.0,166.0,,,,-76.02,-82.65,-85.79,,,,0.0410515340144689,3.566853846604043
169.0,189.0,166.0,,,,-76.02,-82.65,-85.79,,,,0.0410515340144689,3.566853846604043
169.0,189.0,166.0,,,,-76.02,-82.65,-85.79,,,,0.0410515340144689,3.566853846604043
